Main Topic,Keyword,Related score,Competition,Overall,Search volume,30d ago searches,Timestamp,Number of words,KW Type,Content Pillar
schopenhauer,death,1.04739336492891,50.0,69.16857080720624,308778.0,317687.0,1771835931.0,1,single word,Fundamental Knowledge
schopenhauer,happiness,1.25,54.5,67.27360811554489,301331.0,285701.0,1771835931.0,1,single word,Fundamental Knowledge
personal growth,law of attraction,1.75,55.5,66.85885129161157,300190.0,300493.0,1771835931.0,3,multiple words,Personal Growth
stoicism,communication skills,1.2,54.0,67.42846347941068,297854.0,322947.0,1771835931.0,2,multiple words,Personal Growth
procrastination,healthy gamer gg,4.55,59.0,65.38491556133928,294538.0,398675.0,1771835931.0,3,multiple words,Emotional Pain
mental models,financial education,1.2,57.0,66.17355464334857,293679.0,291204.0,1771835931.0,2,multiple words,Personal Growth
stoicism,morning routine,1.2,62.4,63.77302288496109,276069.0,281363.0,1771835931.0,2,multiple words,Personal Growth
philosophy,art of war,1.4,60.0,64.65761994023669,270769.0,205208.0,1771835931.0,3,multiple words,Fundamental Knowledge
productivity,books,2.0,54.6,66.81749064625359,270760.0,365575.0,1771835931.0,1,single word,Personal Growth
productivity,huberman lab,1.8,71.0,60.19923244138858,266735.0,320677.0,1771835931.0,2,multiple words,Personal Growth
mental models,sam harris,1.2,71.0,60.16825171979171,264619.0,317695.0,1771835931.0,2,multiple words,Personal Growth
mental models,productivity,3.5,68.0,61.34318172750305,262919.0,284748.0,1771835931.0,1,single word,Personal Growth
anxiety,depression,5.5,55.5,66.17066385373434,251513.0,297759.0,1771835931.0,1,single word,Emotional Pain
stoicism,marcus aurelius,42.30000000000001,60.5,64.15912487520717,250768.0,209644.0,1771835931.0,2,multiple words,Fundamental Knowledge
jung,mindset,2.25,60.6,64.09744143952615,249374.0,331054.0,1771835931.0,1,single word,Fundamental Knowledge
mental models,eric weinstein,1.2,62.0,63.49500185000896,246668.0,108841.0,1771835931.0,2,multiple words,Personal Growth
philosophy,school,8.045103092783505,70.0,60.165158169799504,238570.0,198157.0,1771835931.0,1,single word,Fundamental Knowledge
anxiety,mental health,17.4,58.5,64.69198368049518,234124.0,231074.0,1771835931.0,2,multiple words,Emotional Pain
productivity,the long walk,1.4,67.0,61.24681402446077,231421.0,355723.0,1771835931.0,3,sentence,Personal Growth
philosophy,justice,2.0,62.7,62.950745727952615,230467.0,209750.0,1771835931.0,1,single word,Fundamental Knowledge
schopenhauer,academy of ideas,1.75,56.0,65.62823010542783,230318.0,223107.0,1771835931.0,3,multiple words,Fundamental Knowledge
habits,habits,0.0,59.5,64.10470670563001,223119.0,265782.0,1771835931.0,1,single word,Personal Growth
procrastination,procrastination,0.0,58.0,64.61688519455757,218138.0,251404.0,1771835931.0,1,single word,Emotional Pain
finding purpose,robert greene,1.7999999999999998,58.5,64.33483755527749,213585.0,243696.0,1771922253.0,2,multiple words,Purpose and Identity
productivity,burnout,2.0,58.0,64.52183070289912,212872.0,203577.0,1771835931.0,1,single word,Personal Growth
philosophy,talk,7.217894736842105,53.7,66.23729636612964,212624.0,110561.0,1771835931.0,1,single word,Fundamental Knowledge
personal growth,simon sinek,1.5,68.5,60.29476586956811,211396.0,200123.0,1771835931.0,2,multiple words,Personal Growth
personal growth,time management,3.9,48.5,68.29049459815712,211164.0,272674.0,1771835931.0,2,multiple words,Personal Growth
philosophy,socrates,3.0,59.0,64.06437858284296,209751.0,204384.0,1771835931.0,1,single word,Fundamental Knowledge
stoicism,quotes,1.25,47.0,68.80595221013446,206624.0,224871.0,1771835931.0,1,single word,Fundamental Knowledge
habits,atomic habits,10.575000000000005,46.7,68.88252496934666,204330.0,291425.0,1771835931.0,2,multiple words,Personal Growth
habits,bad habits,7.05,58.0,64.33901971469393,203099.0,268831.0,1771835931.0,2,multiple words,Personal Growth
stoicism,red flags,1.2,58.0,64.20756476455726,196350.0,255288.0,1771835931.0,2,multiple words,Fundamental Knowledge
schopenhauer,einzelgänger,2.25,53.0,66.14139253581783,193038.0,197213.0,1771835931.0,1,single word,Fundamental Knowledge
stoicism,stress relief,1.2,40.0,71.2367465485448,187914.0,130682.0,1771835931.0,2,multiple words,Personal Growth
personal growth,life hacks,4.8,52.0,66.43664304763354,187909.0,161302.0,1771835931.0,2,multiple words,Personal Growth
personal growth,bob proctor,1.5,60.0,63.21682370440261,186954.0,204572.0,1771835931.0,2,multiple words,Personal Growth
schopenhauer,buddhism,1.25,43.9,69.62857055710128,185601.0,194306.0,1771835931.0,1,single word,Fundamental Knowledge
stoicism,daily stoic,10.8,61.0,62.76922030524389,184680.0,194731.0,1771835931.0,2,multiple words,Personal Growth
productivity,booktok,2.0,44.6,69.30913822146455,183729.0,168210.0,1771835931.0,1,single word,Personal Growth
schopenhauer,school of life,1.75,59.0,63.45615166668404,179389.0,218089.0,1771835931.0,3,multiple words,Fundamental Knowledge
personal growth,habit tracker,1.2,37.2,72.1639028416316,178825.0,399235.0,1771835931.0,2,multiple words,Personal Growth
exitentialism,nietzsche,2.75,60.0,62.99213818814677,176461.0,275753.0,1771922253.0,1,single word,Fundamental Knowledge
productivity,cal newport,2.4,68.8,59.4132800849412,173811.0,167855.0,1771835931.0,2,multiple words,Personal Growth
philosophy,kant,3.0,40.3,70.79169121160194,172849.0,112418.0,1771835931.0,1,single word,Fundamental Knowledge
stoicism,gratitude,2.0,56.2,64.37518010198059,170356.0,196571.0,1771835931.0,1,single word,Fundamental Knowledge
habits,book summary,1.2,49.0,67.2402183375814,169702.0,131777.0,1771835931.0,2,multiple words,Personal Growth
philosophy,mindfulness,1.25,51.5,66.14795143489401,165724.0,155761.0,1771835931.0,1,single word,Fundamental Knowledge
philosophy,miyamoto musashi,1.2,54.6,64.73983451561784,158714.0,187210.0,1771835931.0,2,multiple words,Fundamental Knowledge
philosophy,sol,9.0,58.5,63.17107521560592,158357.0,160920.0,1771835931.0,1,single word,Fundamental Knowledge
anxiety,yoga for beginners,1.4,40.0,70.54892970819841,157458.0,167456.0,1771835931.0,3,multiple words,Personal Growth
mental models,how to get rich,1.4,56.5,63.937128137024274,156981.0,154027.0,1771835931.0,4,sentence,Personal Growth
stoicism,ryan holiday,7.2,69.0,58.92586225878477,156527.0,162134.0,1771835931.0,2,multiple words,Personal Growth
meaning of life,life lessons,1.2,59.0,62.91339210095461,156026.0,170877.0,1771922253.0,2,multiple words,Purpose and Identity
personal growth,positive affirmations,1.2,51.0,66.09279495299657,155202.0,165307.0,1771835931.0,2,multiple words,Personal Growth
productivity,reading,2.0,61.2,61.97509377028143,153705.0,182029.0,1771835931.0,1,single word,Personal Growth
personal growth,self love,6.0,58.0,63.22246318392719,152421.0,141723.0,1771835931.0,2,sentence,Purpose and Identity
habits,rock cover,1.2,53.4,65.01899007059895,150727.0,144496.0,1771835931.0,2,multiple words,Personal Growth
philosophy,education,12.578317901234568,62.5,61.36181640843533,150063.0,162044.0,1771835931.0,1,single word,Fundamental Knowledge
habits,our last night,1.4,70.0,58.24464237214236,145610.0,165875.0,1771835931.0,3,multiple words,Personal Growth
productivity,brain rot,1.2,70.0,58.21018967360542,144326.0,196442.0,1771835931.0,2,multiple words,Personal Growth
mental models,tim ferriss,2.4,62.0,61.377794201182574,143129.0,132040.0,1771835931.0,2,multiple words,Personal Growth
mental models,how to invest,2.8,50.5,65.9751843435874,143033.0,142880.0,1771835931.0,3,sentence,Personal Growth
anxiety,jay shetty podcast,1.4,59.0,62.5601708856135,142482.0,197565.0,1771835931.0,3,multiple words,Personal Growth
anxiety,overthinking,2.0,56.0,63.732966773748046,141489.0,128291.0,1771835931.0,1,single word,Emotional Pain
philosophy,filosofia,2.0,52.5,65.12294682555549,141125.0,147124.0,1771835931.0,1,single word,Fundamental Knowledge
personal growth,reflection,2.0,55.0,64.0854187599356,139770.0,112082.0,1771835931.0,1,single word,Personal Growth
habits,james clear,1.5,58.0,62.877534879301976,139487.0,208764.0,1771835931.0,2,multiple words,Personal Growth
personal growth,the secret,1.5,63.5,60.583346475827526,136150.0,139857.0,1771835931.0,2,multiple words,Personal Growth
mental models,entrepreneur,2.25,50.1,65.92039434207842,135349.0,134498.0,1771835931.0,1,single word,Personal Growth
schopenhauer,buddha,1.25,56.6,63.292359193816864,134377.0,255836.0,1771835931.0,1,single word,Fundamental Knowledge
mental models,true geordie,1.2,71.0,57.52810166519826,134230.0,202949.0,1771835931.0,2,multiple words,Personal Growth
productivity,social media,1.2,70.0,57.90374144833281,133392.0,130414.0,1771835931.0,2,multiple words,Personal Growth
mental models,emotional intelligence,1.2,57.0,63.05630049013296,131775.0,121787.0,1771835931.0,2,multiple words,Personal Growth
procrastination,healing,2.0,57.5,62.799357768973046,129860.0,178758.0,1771835931.0,1,single word,Personal Growth
exitentialism,friedrich nietzsche,1.5,52.5,64.75949536155312,128536.0,82356.0,1771922253.0,2,multiple words,Fundamental Knowledge
procrastination,stress,1.25,55.5,63.42845558879442,124278.0,78009.0,1771835931.0,1,single word,Emotional Pain
meaning of life,wisdom,2.0,60.0,61.565411638755,122280.0,92300.0,1771922253.0,1,single word,Fundamental Knowledge
stoicism,relationship advice,1.2,50.5,65.3438160136432,121603.0,134968.0,1771835931.0,2,multiple words,Fundamental Knowledge
philosophy,deep dive,1.2,64.0,59.93645187236457,121373.0,120286.0,1771835931.0,2,multiple words,Fundamental Knowledge
stoicism,growth mindset,1.2,53.5,64.1021051064632,120306.0,65177.0,1771835931.0,2,multiple words,Personal Growth
habits,new york times,1.4,56.0,62.99135627337839,116929.0,134911.0,1771835931.0,3,multiple words,Personal Growth
jung,psyphoria,5.25,59.0,61.787328959602206,116808.0,153699.0,1771835931.0,1,single word,Fundamental Knowledge
philosophy,philosophy tube,4.7,64.5,59.56233984881538,116060.0,154375.0,1771835931.0,2,multiple words,Fundamental Knowledge
productivity,side hustle,1.2,52.9,64.19465723055329,115831.0,168976.0,1771835931.0,2,multiple words,Personal Growth
mental models,compound interest,2.4,43.9,67.7511956775378,114544.0,164262.0,1771835931.0,2,multiple words,Personal Growth
anxiety,therapy in a nutshell,2.8,54.5,63.51051643778236,114524.0,133080.0,1771835931.0,4,multiple words,Emotional Pain
philosophy,bhagavad gita,1.2,60.0,61.30688048899079,114417.0,128558.0,1771835931.0,2,multiple words,Fundamental Knowledge
nihilism,christianity,3.25,53.0,64.0733516237038,113435.0,122020.0,1771922253.0,1,single word,Fundamental Knowledge
habits,neuroscience,2.0,55.0,63.24412904984631,112586.0,112854.0,1771835931.0,1,single word,Personal Growth
mental models,how to focus,1.4,50.5,65.03721298327393,112386.0,102096.0,1771835931.0,3,sentence,Personal Growth
schopenhauer,feminine energy,1.2,44.9,67.22192877825023,110800.0,91483.0,1771835931.0,2,multiple words,Fundamental Knowledge
anxiety,social anxiety,14.1,55.0,63.145635379736085,109771.0,88131.0,1771835931.0,2,multiple words,Emotional Pain
philosophy,哲学,2.0,33.1,71.77504906955298,106147.0,104514.0,1771835931.0,1,single word,Fundamental Knowledge
procrastination,ptsd,2.0,44.0,67.41270305480869,106083.0,97751.0,1771835931.0,1,single word,Emotional Pain
productivity,study tips,1.8,49.5,65.19775066568204,105676.0,92433.0,1771835931.0,2,multiple words,Personal Growth
habits,tits,2.0,29.1,73.32288420915197,104733.0,96831.0,1771835931.0,1,single word,Personal Growth
stoicism,mind,15.0,60.5,60.7613240088054,104691.0,117430.0,1771835931.0,1,single word,Fundamental Knowledge
philosophy,critical thinking,1.2,43.0,67.64352278781391,101568.0,109372.0,1771835931.0,2,multiple words,Personal Growth
habits,public speaking,1.2,54.5,63.03266946285066,101285.0,110224.0,1771835931.0,2,multiple words,Personal Growth
procrastination,how to stop procrastinating,5.949999999999999,54.5,62.98039688435705,99933.0,84153.0,1771835931.0,4,sentence,Personal Growth
philosophy,sermon,8.0,57.5,61.74987774751938,99152.0,83526.0,1771835931.0,1,single word,Fundamental Knowledge
philosophy,crashcourse,5.0,63.0,59.53037048812476,98656.0,98459.0,1771835931.0,1,single word,Fundamental Knowledge
schopenhauer,schopenhauer,0.0,46.6,66.05106000808836,97664.0,116850.0,1771835931.0,1,single word,Fundamental Knowledge
meaning of life,after skool,1.2,51.5,64.07905314318029,97363.0,133854.0,1771922253.0,2,multiple words,Fundamental Knowledge
philosophy,think,9.0,56.5,62.03376513333152,96236.0,79084.0,1771835931.0,1,single word,Fundamental Knowledge
personal growth,self care,5.1,57.5,61.6295187783766,96131.0,88829.0,1771835931.0,2,multiple words,Personal Growth
personal growth,jim rohn motivation,1.0499999999999998,46.4,66.04549028896496,95539.0,112498.0,1771835931.0,3,multiple words,Personal Growth
anxiety,panic attack,5.1,47.5,65.58651192278381,95074.0,80930.0,1771835931.0,2,multiple words,Emotional Pain
habits,postmodern jukebox,1.2,50.0,64.57224793209426,94726.0,79911.0,1771835931.0,2,multiple words,Personal Growth
meaning of life,teded,1.25,57.5,61.56649475827609,94586.0,86078.0,1771922253.0,1,single word,Fundamental Knowledge
philosophy,beyond good and evil,1.4,63.5,59.143313852057005,94024.0,100474.0,1771835931.0,4,multiple words,Fundamental Knowledge
mental models,passive income,2.4,57.5,61.51687128886161,93387.0,94880.0,1771835931.0,2,multiple words,Personal Growth
productivity,tedx talks,1.2,44.5,66.62055428113646,91103.0,99388.0,1771835931.0,2,multiple words,Personal Growth
productivity,learn chinese,1.2,44.6,66.56378104185501,90711.0,121985.0,1771835931.0,2,sentence,Personal Growth
personal growth,morning motivation,2.4,54.0,62.78788252812774,90341.0,71185.0,1771835931.0,2,multiple words,Personal Growth
schopenhauer,consciousness,3.25,56.0,61.97490076643104,90040.0,110223.0,1771835931.0,1,single word,Fundamental Knowledge
habits,stay high,7.2,55.5,62.16421549985962,89793.0,87132.0,1771835931.0,2,sentence,Personal Growth
philosophy,stoicism philosophy,9.4,56.4,61.78018565607073,89240.0,96686.0,1771835931.0,2,multiple words,Fundamental Knowledge
anxiety,therapy,4.25,56.5,61.71056400872364,88563.0,79412.0,1771835931.0,1,single word,Emotional Pain
philosophy,vlogbrothers,5.0,59.0,60.68257351496247,87928.0,83125.0,1771835931.0,1,single word,Fundamental Knowledge
personal growth,self development,8.1,42.5,67.23664935581175,86896.0,73535.0,1771835931.0,2,multiple words,Personal Growth
anxiety,hatha yoga,1.2,59.0,60.585825102763664,85768.0,66707.0,1771835931.0,2,multiple words,Personal Growth
stoicism,ancient rome,1.2,54.0,62.58568904256657,85765.0,54174.0,1771835931.0,2,multiple words,Fundamental Knowledge
personal growth,vanessa van edwards,1.4,51.5,63.58446428658094,85738.0,153248.0,1771835931.0,3,multiple words,Personal Growth
procrastination,addiction,2.0,63.0,58.937084421704114,84700.0,66412.0,1771835931.0,1,single word,Emotional Pain
schopenhauer,western,1.25,58.2,60.84291390585897,84392.0,126678.0,1771835931.0,1,single word,Fundamental Knowledge
meaning of life,spirituality,1.25,49.5,64.28553861513427,83585.0,96499.0,1771922253.0,1,single word,Fundamental Knowledge
stoicism,how to be happy,1.4,45.0,66.00888631145779,81954.0,51249.0,1771835931.0,4,sentence,Fundamental Knowledge
stoicism,letting go,2.4,58.0,60.79990539951936,81765.0,83891.0,1771835931.0,2,sentence,Fundamental Knowledge
exitentialism,nihilism,1.75,44.7,66.11757362618438,81716.0,92814.0,1771922253.0,1,single word,Purpose and Identity
meaning of life,hard work,1.2,40.0,67.99271524271617,81614.0,91324.0,1771922253.0,2,sentence,Personal Growth
procrastination,how to be productive,2.8,48.0,64.7758065626124,81260.0,81293.0,1771835931.0,4,sentence,Personal Growth
philosophy,taoism,2.0,50.9,63.5701119165273,80311.0,71252.0,1771835931.0,1,single word,Fundamental Knowledge
philosophy,student,2.0,55.7,61.60078502376325,79299.0,54286.0,1771835931.0,1,single word,Fundamental Knowledge
mental models,the swedish investor,2.8,44.0,66.25386041902134,78752.0,79310.0,1771835931.0,3,multiple words,Personal Growth
personal growth,how to change your life,1.4,54.0,62.25341585607373,78743.0,58259.0,1771835931.0,5,sentence,Personal Growth
nihilism,dostoevsky,1.25,45.1,65.72088700897501,76892.0,72483.0,1771922253.0,1,single word,Fundamental Knowledge
stoicism,personal development,3.6,40.0,67.70581348027704,75811.0,61762.0,1771835931.0,2,multiple words,Fundamental Knowledge
schopenhauer,arthur schopenhauer,97.52499999999996,46.6,65.01733327165103,74872.0,31887.0,1771835931.0,2,multiple words,Fundamental Knowledge
meaning of life,change your life,1.4,59.5,59.84567842458692,74648.0,77552.0,1771922253.0,3,sentence,Personal Growth
personal growth,tony robbins motivation,1.4,52.0,62.82189646184123,74193.0,38669.0,1771835931.0,3,multiple words,Personal Growth
meaning of life,self help,1.5,75.5,53.38491667013445,73491.0,108891.0,1771922253.0,2,sentence,Personal Growth
personal growth,denzel washington motivation,3.15,33.8,70.03212164080267,72874.0,77530.0,1771835931.0,3,multiple words,Personal Growth
personal growth,think and grow rich,1.75,59.5,59.73242910671499,72506.0,84385.0,1771835931.0,4,sentence,Personal Growth
jung,jung,0.0,47.6,64.46237773426685,71948.0,83881.0,1771835931.0,1,single word,Fundamental Knowledge
habits,neuroplasticity,1.25,53.0,62.28585314031605,71643.0,59198.0,1771835931.0,1,single word,Personal Growth
mental models,leadership,2.25,49.0,63.78654066431257,69837.0,60585.0,1771835931.0,1,single word,Personal Growth
schopenhauer,inspiration,1.25,44.2,65.66059780398389,69017.0,65380.0,1771835931.0,1,single word,Fundamental Knowledge
personal growth,denzel washington speech,1.75,32.0,70.53501415235692,68918.0,65518.0,1771835931.0,3,multiple words,Personal Growth
meaning of life,darkness,1.25,43.3,65.9922584298538,68516.0,85604.0,1771922253.0,1,single word,Purpose and Identity
stoicism,inner peace,8.7,43.6,65.85621563931919,68234.0,93301.0,1771835931.0,2,multiple words,Fundamental Knowledge
procrastination,how to learn,1.4,48.0,64.05287796901969,67478.0,88015.0,1771835931.0,3,sentence,Personal Growth
philosophy,fyodor dostoevsky,1.2,36.3,68.68023894112889,66571.0,50600.0,1771835931.0,2,multiple words,Fundamental Knowledge
philosophy,existentialism,5.0,54.0,61.56714352966905,66007.0,60722.0,1771835931.0,1,single word,Fundamental Knowledge
philosophy,nelson mandela,1.2,55.0,61.16006547601227,65887.0,63519.0,1771835931.0,2,multiple words,Fundamental Knowledge
philosophy,teacher,2.0,58.0,59.94201723910177,65582.0,81159.0,1771835931.0,1,single word,Fundamental Knowledge
productivity,stephen king,1.2,56.5,60.51451810142802,65120.0,96471.0,1771835931.0,2,multiple words,Personal Growth
meaning of life,albert camus,1.2,55.5,60.721593780989394,61969.0,72244.0,1771922253.0,2,multiple words,Purpose and Identity
philosophy,learn,1.034416826003824,59.0,59.238996291039626,60667.0,51550.0,1771835931.0,1,single word,Fundamental Knowledge
jung,carl jung psychology,13.475,39.8,66.87281527064792,59951.0,37619.0,1771835931.0,3,multiple words,Fundamental Knowledge
meaning of life,alain de botton,1.4,54.1,60.995312416441976,57572.0,66857.0,1771922253.0,3,multiple words,Fundamental Knowledge
philosophy,immanuel kant,1.2,46.4,64.06150485594235,57368.0,60319.0,1771835931.0,2,multiple words,Fundamental Knowledge
personal growth,positive thinking,11.999999999999998,52.0,61.80308632814424,57097.0,50864.0,1771835931.0,2,multiple words,Personal Growth
mental models,career,2.25,56.0,60.19415154078946,56966.0,53648.0,1771835931.0,1,single word,Personal Growth
productivity,burn out,1.2,58.5,59.15393054568394,56380.0,44420.0,1771835931.0,2,multiple words,Personal Growth
mental models,tim ferris,1.2,63.0,57.3457117506516,56261.0,57269.0,1771835931.0,2,multiple words,Personal Growth
stoicism,ancient greece,1.2,61.0,58.09708119663547,55562.0,31765.0,1771835931.0,2,multiple words,Fundamental Knowledge
philosophy,hegel,3.0,39.4,66.71982091172264,55316.0,49837.0,1771835931.0,1,single word,Fundamental Knowledge
productivity,izzy sealey,1.2,57.5,59.46092944231558,55048.0,59401.0,1771835931.0,2,multiple words,Personal Growth
productivity,digital detox,1.2,58.0,59.23156481003208,54634.0,45161.0,1771835931.0,2,multiple words,Personal Growth
productivity,digital minimalism,1.2,46.8,63.710140600036105,54614.0,73467.0,1771835931.0,2,multiple words,Personal Growth
meaning of life,sisyphus,2.0,47.2,63.540799108594825,54483.0,79713.0,1771922253.0,1,single word,Fundamental Knowledge
mental models,how to become a millionaire,2.8,50.0,62.42037071627088,54477.0,75605.0,1771835931.0,5,sentence,Personal Growth
productivity,how to be disciplined,1.4,50.0,62.390912964320464,54066.0,62538.0,1771835931.0,4,sentence,Personal Growth
habits,daily routine,1.2,50.5,62.18832206571386,54030.0,76069.0,1771835931.0,2,multiple words,Personal Growth
personal growth,life advice,1.5,54.0,60.66589869170947,52356.0,43814.0,1771835931.0,2,multiple words,Personal Growth
habits,rain paris,1.2,67.0,55.4189591911871,51728.0,48632.0,1771835931.0,2,multiple words,Personal Growth
philosophy,marcus aurelius meditations,1.75,40.9,65.79244577742247,50851.0,56119.0,1771835931.0,3,multiple words,Fundamental Knowledge
philosophy,simulation theory,1.2,52.5,61.14892545559395,50805.0,86913.0,1771835931.0,2,multiple words,Fundamental Knowledge
personal growth,spiritual awakening,1.2,56.8,59.40434769122597,50485.0,45308.0,1771835931.0,2,sentence,Personal Growth
meaning of life,viktor frankl,1.2,47.3,63.19223220107233,50328.0,53475.0,1771922253.0,2,multiple words,Purpose and Identity
finding purpose,purpose,3.25,49.3,62.381551665162,50190.0,62177.0,1771922253.0,1,single word,Purpose and Identity
productivity,ted x,1.2,50.5,61.85618220681347,49608.0,46391.0,1771835931.0,2,multiple words,Personal Growth
philosophy,free will,1.2,56.0,59.64660430865473,49486.0,59083.0,1771835931.0,2,sentence,Fundamental Knowledge
procrastination,cbt,2.0,48.0,62.8464470972857,49484.0,32915.0,1771835931.0,1,single word,Emotional Pain
philosophy,plato,3.0,58.0,58.817173925418544,49113.0,51238.0,1771835931.0,1,single word,Fundamental Knowledge
